فارسی,بلوچی
یک,یک
کمی,کمی
زیاد,باز زیات
بسیاری از,بازین ئی
رها کردن,یل کنگ
رها شده است,یل دات
پایبند بودن,نندگ
توانایی,بودناکی
توانا,لائک
درباره,بابت ء
س,برز ء
بیرون,درملک
غیبت,ساڑی نه بوگ ء
غایب,ناساڑی
دقیقا,بیرگا
جذب,چنت ئی
خلاصه,گونڈگری
چرند,بی هودگ
فراوانی,گیشی
فراوان,مزنین کساس
توهین,ردین تب
لهجه,گالوار
دسترسی,رسائی
حادثه,ویل
بودوباش,جاه دیگ
انجام دهد,سرجم
انجام شد,سرجم
مطابق,ردا
حساب,کهاته
دقت,تچکی
درست,راستین
متهم,ڈوهدار
درد,کولنج
بدست آوردن,حاصل کنگ
دستاورد,سوبمندی
تصدیق,منگ
آشنایی,جاه آرۆک
دریافت,گرگ
به دست آورد,گپت
تحصیل,گرگ
از وسط,ا دست
عمل کنید,کرد
عمل,کرد
فعال,کارء
فعالیت ها,کاران
فعالیت,چست و ایر
بازیگر,کارست
واقعی,چوناها
در حقیقت,اسل ء
حاد,سکین
سازگار شدن,وتی کنگ
اضافه کردن,پر کنگ
معتاد,هێلدار
علاوه بر این,گیشین
اضافی,گیشین
آدرس,ڈس
کافی,باز
مجاور,کر و گور
صفت,ستا
تطبیق,هوار کن
تمجید,ستا کنگ
اعتراف,منگ
اتخاذ کردن,وتی کنگ ء
قابل ستایش,دلکش
پیش پرداخت,اربون
پیشرفته,دیمروی کرتگین
مزیت,پائدگ
ماجرا,مهم جوئی
قید,جاورگال
تبلیغات,اشتهار
مشوره,شئور
توصیه,سرپد کنگ
مدافع,وکیل
زیبایی شناختی,زیبائی
امر,احوال
اثرانداز شدن,ساندار
محبت,مهر
توانستن,پجگ
مقرون به صرفه,ارزنین
ترسیده,ترس
بعد از,چه پد
بعد از چاشت,نیمروچ
پس از آن,رندا
بار دیگر,پدا
بر خلاف,هلاپ
سن,امر
آژانس,ایجنسی
عامل,دیمکار
خشونت آمیز,مڑوک
چابک,تکڑا
پیش,پیسرا
همفکر بودن,تپاک
توافق,اهدنامه
کشاورزی,کشت و کشار
پیش رو,دیما
کمک,کمک
هدف,مراد
هوا,گوات
فرودگاه,بالی پٹ
راهرو,رنگراه
زنگ خطر. هشدار,ڈاه پرینگ
الکل,ترنداپ
هشدار,شیوار
زنده,زندگ
همه,درست
خیلی خوب,شر انت
بهترین ها,الله مهروان بات
اجازه دادن,موکل دیگ
اجازه داده شد,موه دات
تقریبا,کساس
تنها,اێوک
همراه,گون
بالفعل,چوناها
بسیار خوب,شر انت
همچنان,هم
بدیل,بدل
هرچند,چوکه
همیشه,هر وهد ء
هستم,ان
تعجب آور,هیرانین
مبهم,اڑاند
پرتلاش,برز نگاه
اصلاح,بدلی
در میان,مراد
در میانی,میان
در بین ما,مئی میان ء
مقدار,زر
سرگرم کننده,دل
تحلیل و بررسی,پریس
اجداد,پشت
لنگر,لنگر
بسیار قدیم,کوهن
و,ء
و شما,ء تو
فرشته,ملائیک
عصبانیت,زهرگرگ
زاویه,گومب
خشمگین,دلگران
حیوان,دلوت
مچ پا,پاد
سالگرد,سالروچ
اعلامیه,جارانک
آزار دادن,دلگران
اذیت شده,دلگران
مزاحم,بهمانگ کنوک
سالانه,سالیگی
ناشناس,گمنام
دیگر,یک دگه
جواب,پسو
پیش بینی کنید,گمانی این
اضطراب,بی تاهیر
مضطرب,چک و دل
کدام یک,کجام یک
هر کسی,کسی هم
یگان چیز,هر شئی
بهرحال,چوناهائی ء
به هر حال,برهال
جدا از هم,جتا
اپارتمان,اپارتمان
معذرتخواهی,پهلی
آشکار,پیداکی
ظاهرا,گندگ ء
درخواست,گزارش
ظاهر شدن,در آیگ
ظاهر,پیداک
ظاهر شد,اتکگ
اشتها,گژن
سیب,سروپ
قرار ملاقات,دارگ
تشویق,ستا
قدردانی,توسیپ
رویکرد,لیکه
مناسب,شرین
تصویب,منگ
تایید,منگ
تایید شده,منتگین
آوریل,اپریل
دلخواه,وت دل ء
معمار,جوڑ کنوک
معماری,ماڑی بندگ
بایگانی,پهمیان کرتگین کاگد
هستند,این
آیا شما,تو ئی
آیا شما مشغول هستید,ایا تو دزگٹ ئی
آیا شما متاهل هستید,تو سور کرتگ
