کلید,انگلیسی,بلوچی,دلیل بازبینی
delete,Delete,پاک کورتین,همان واژه برای: clear، delete، remove
close,Close,بستین,همان واژه برای: close، closed؛ در صندوق معنی دیگری دارد
changeDue,Change,تغیر,در صندوق معنی دیگری دارد
clearCart,Clear,پاک کورتین,همان واژه برای: clear، delete، remove؛ در صندوق معنی دیگری دارد
remove,Remove,پاک کورتین,همان واژه برای: clear، delete، remove
title,Title,ئنوان,همان واژه برای: subject، title
sessionClosed,Closed,بستین,همان واژه برای: close، closed
line,Line,خط,در صندوق معنی دیگری دارد
movementDelta,Change,تغیر,در صندوق معنی دیگری دارد
fyStatusCLOSED,Closed,بستین,همان واژه برای: close، closed
oppTitle,Title,ئنوان,همان واژه برای: subject، title
subject,Subject,ئنوان,همان واژه برای: subject، title
add,,اڈ ڈ کورتین,فاصله‌گذاری غلط در منبع — واژهٔ تک‌حرفی
addToOrder,,اڈ ڈ کورتین,فاصله‌گذاری غلط در منبع — واژهٔ تک‌حرفی
ruleValue,,اندازه گ,فاصله‌گذاری غلط در منبع — واژهٔ تک‌حرفی
